,Brand,Model Name,Type,Capacity in Tons,Star Rating,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor Unit Weight,Outdoor Unit Weight,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,Price,indoor W,indoor h,indoor d,outdoor W,outdoor h,outdoor d,low Indoor Noise Level,high Indoor Noise Level
1,Blue Star,FS312YBTU,0,1,3,No Series,No,3323,Rotary,Yes,Yes,R32,"Comfort Sleep, iFeel, Turbo Cooling",Precision Cooling Technology,Copper,9,29.5,,No,No,0,HYDROPHILIC Golden FINS,,No,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 240 V, 50HZ",741 W,32490,81.8,29.5,22.3,91.5,59,35,Low - 35 dB,High - 55 dB
2,Blue Star,FS312YBTU,0,1,3,No Series,No,3323,Rotary,Yes,Yes,R32,"Comfort Sleep, iFeel, Turbo Cooling",Precision Cooling Technology,Copper,9,29.5,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50HZ",741 W,32490,81.8,29.5,22.3,91.5,59,35,Low - 35 dB,High - 55 dB
5,Blue Star,FS312YBTU,0,1,3,No Series,No,3323,Rotary,Yes,Yes,R32,"Comfort Sleep, iFeel, Turbo Cooling",Precision Cooling Technology,Copper,9,29.5,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,"AC 220 - 240 V, 50HZ",741 W,32490,81.8,29.5,22.3,91.5,59,35,Low - 35 dB,High - 55 dB
6,Blue Star,3W18GBT,1,1.5,3,No Series,No,5078,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,58,0,,No,No,2.93,,,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1732 W,27345,660,430,770,0,0,0, Low - 48 dB,High - 52 dB
7,Blue Star,IC318VBTU,0,1.5,3,No Series,No,5000,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,11.8,28.5,LCD with Backlit,No,Yes,3.82,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,Yes,Yes,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1012.14 W,36990,97.5,32.04,22.94,88.84,58.15,36.7, Low - 43 dB,High - 58 dB
8,Blue Star,IC318VBTU,0,1.5,3,No Series,No,5000,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,11.8,28.5,LCD with Backlit,No,Yes,3.82,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,Yes,Yes,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1012.14 W,36990,97.5,32.04,22.94,88.84,58.15,36.7, Low - 43 dB,High - 58 dB
12,Blue Star,3WAE081YDF,1,0.75,3,YD Series,No,2499,Rotary,Yes,Yes,R410A,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,35.1,27.8,Yes,No,No,3,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,"AC 230 V, 50 Hz",840 W,19990,60,38,56,72,54.8,26.5,Low - 35 dB,High - 55 dB
15,Blue Star,3W12LA,1,1,3,No Series,No,3370,Rotary,No,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,41,28,,Yes,Yes,3.53,HYDROPHILIC BLUE FINS,COPPER CONDENSER WITH ANTI CORROSIVE BLUE FINS,No,Yes,,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,"AC 220 - 230 V, 50 Hz",1160 W,23490,560,377,615,76,55.2,25.6, Low - 32 dB,High - 45 dB
16,Blue Star,IC318EBTU,0,1.5,3,No Series,No,4850,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,9,26.8,Yes,No,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",975.37 W,37999,840,270,210,84,54,30,Low - 43 dB,High - 55 dB
17,Blue Star,IC312RBTU,0,1,3,No Series,No,3425,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,11,28,,Yes,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,AC 230 V,1710 W,31899,948,302,210,880,550,365,Low - 35 dB,High - 55 dB
18,Blue Star,IC318EBTU,0,1.5,3,No Series,No,4850,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,9,26.8,Yes,No,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",975.37 W,37999,840,270,210,84,54,30,Low - 43 dB,High - 55 dB
19,Blue Star,3W12LA,1,1,3,No Series,No,3370,Rotary,No,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,41,28,,Yes,Yes,3.53,HYDROPHILIC BLUE FINS,COPPER CONDENSER WITH ANTI CORROSIVE BLUE FINS,No,Yes,,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,"AC 220 - 230 V, 50 Hz",1160 W,23490,560,377,615,76,55.2,25.6, Low - 32 dB,High - 45 dB
20,Blue Star,3WAE081YDF,1,0.75,3,YD Series,No,2499,Rotary,Yes,Yes,R410A,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,35.1,27.8,Yes,No,No,3,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,"AC 230 V, 50 Hz",840 W,19990,60,38,56,72,54.8,26.5,Low - 35 dB,High - 55 dB
21,Blue Star,IC318EBTU,0,1.5,3,No Series,No,4850,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,9,26.8,,No,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",975.37 W,37999,840,270,210,84,54,30,Low - 43 dB,High - 55 dB
23,Blue Star,IC318EBTU,0,1.5,3,No Series,No,4850,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,9,26.8,,No,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",975.37 W,37999,840,270,210,84,54,30,Low - 43 dB,High - 55 dB
24,Blue Star,IC318EBTU,0,1.5,3,No Series,No,4850,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,9,26.8,,No,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",975.37 W,37999,840,270,210,84,54,30,Low - 43 dB,High - 55 dB
26,Blue Star,IC318EBTU,0,1.5,3,No Series,No,4850,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,9,26.8,Yes,No,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",975.37 W,37999,840,270,210,84,54,30,Low - 43 dB,High - 55 dB
27,Blue Star,IC326YATU,0,2,3,No Series,No,6950,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Precision Cooling-Decimal Setting, Turbo Cooling",Precision Cooling Technology,Copper,15,38,,Yes,Yes,0,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,No,Yes,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,AC 230 V,2620 W,54990,1110,335,215,968,652,367,Low - 35 dB,High - 55 dB
29,Blue Star,IC312RBTU,0,1,3,No Series,No,3425,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,11,28,,Yes,Yes,0,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,No,Yes,,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,AC 230 V,1710 W,31899,948,302,210,880,550,365,Low - 35 dB,High - 55 dB
30,Blue Star,IC318EBTU,0,1.5,3,No Series,No,4850,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,9,26.8,,No,Yes,3.85,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",975.37 W,37999,840,270,210,84,54,30,Low - 43 dB,High - 55 dB
32,Blue Star,3W12LA,1,1,3,No Series,No,3370,Rotary,No,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,41,0,,No,No,2.91,,,No,Yes,,,Yes,No,No,No,Yes,No,No,Yes,Yes,,Yes,"AC 220 - 230 V, 50 Hz",1160 W,23490,560,377,615,0,0,0,Low - 35 dB,High - 55 dB
0,Blue Star,5W12GBT,1,1,5,No Series,No,3280,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,51,0,,No,No,3.31,,,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 230 V, 50 Hz",991 W,25990,660,430,770,0,0,0,Low - 35 dB,High - 55 dB
3,Blue Star,IC524DBTU,0,2,5,No Series,No,6530,Inverter Rotary,Yes,Yes,R32,"Climate Control, Comfort Sleep, Dual User Setting Preferences, Modes - (Auto/Cool/ Fan / Dry), Precision Cooling-Decimal Setting",Precision Cooling Technology,Copper,15,38.2,,No,No,4.65,Hydrophilic Blue Fins,Anti Corrosion Blue Fins,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1770 W,56299,1110,335,215,968,689,367,Low - 35 dB,High - 55 dB
4,Blue Star,IC524DBTU,0,2,5,No Series,No,6530,Inverter Rotary,Yes,Yes,R32,"Climate Control, Comfort Sleep, Dual User Setting Preferences, Modes - (Auto/Cool/ Fan / Dry), Precision Cooling-Decimal Setting",Precision Cooling Technology,Copper,15,38.2,,No,No,4.65,Hydrophilic Blue Fins,Anti Corrosion Blue Fins,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1770 W,56299,1110,335,215,968,689,367,Low - 35 dB,High - 55 dB
9,Blue Star,IC518EBTU,0,1.5,5,No Series,No,5030,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,11.8,27.7,LED,No,Yes,4.66,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",836.04 W,42990,94,31.5,23.5,84,54,30,Low - 40 dB,High - 55 dB
10,Blue Star,IC512QBTU,0,1,5,No Series,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Precision Cooling Technology,Copper,11.4,37,,No,No,4.65,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,1380 W,36999,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
11,Blue Star,IC518EBTU,0,1.5,5,No Series,No,5030,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,11.8,27.7,LED,No,Yes,4.66,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",836.04 W,42990,94,31.5,23.5,84,54,30,Low - 40 dB,High - 55 dB
13,Blue Star,IC518DLTU,0,1.5,5,No Series,No,5010,Rotary,Yes,Yes,R32,"Climate Control, Comfort Sleep, Dual User Setting Preferences, Modes - (Auto/Cool/ Fan / Dry), Precision Cooling-Decimal Setting",Precision Cooling Technology,Copper,12,28.6,,No,No,4.6,Hydrophilic Blue Fins,Anti-corrosive Blue Fins,No,Yes,2 Way,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1375 W,42799,96,32,21.5,88.8,58.1,36.7,Low - 35 dB,High - 55 dB
14,Blue Star,5W18GBTI,1,1.5,5,No Series,No,5190,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,55,0,,No,No,3.57,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,AC 220 - 240 V,5190 W,36000,66,43,77,0,0,0,Low - 35 dB,High - 55 dB
22,Blue Star,IC518EBTU,0,1.5,5,No Series,No,5030,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,11.8,27.7,LED,No,Yes,4.66,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",836.04 W,42990,94,31.5,23.5,84,54,30,Low - 40 dB,High - 55 dB
25,Blue Star,IC512QBTU,0,1,5,No Series,No,5000,Rotary,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",Precision Cooling Technology,Copper,11.4,37,,No,No,4.65,,,No,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,Yes,AC 230 V,1380 W,36999,105.5,29.9,21.5,88,63.8,31,Low - 35 dB,High - 55 dB
28,Blue Star,IC518EBTU,0,1.5,5,No Series,No,5030,Inverter,Yes,Yes,R32,"Auto, Cool, Fan, Dry",Precision Cooling Technology,Copper,11.8,27.7,,No,Yes,4.66,,Anti-corrosive Blue Fins,No,Yes,4 Way Air,4 Way Air Swing,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",836.04 W,42990,94,31.5,23.5,84,54,30,Low - 40 dB,High - 55 dB
31,Blue Star,5W18GBTI,1,1.5,5,No Series,No,5190,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Turbo Cooling",Precision Cooling Technology,Copper,55,0,,No,No,3.57,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,AC 220 - 240 V,5190 W,36000,66,43,77,0,0,0,Low - 35 dB,High - 55 dB
33,CARRIER,24k Estrella Neo 3 Star Window,1,2,3,No Series,No,2500,High EER Rotary,Yes,Yes,R32,,"Insta Kool, AI Cool",Copper,42,28.3,,No,Yes,3.67,,,No,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,AC 230 V,1925 W,36000,61.3,35.5,52.5,80,55.4,33.3,Low - 35 dB,High - 55 dB
34,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,0,2,3,Ester Nx,No,6200,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,14.2,44,Digital Display-LED,Yes,Yes,3.62,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,41990,104.5,31.5,23.5,84.5,70,32, Low - 40 dB,High - 46 dB
35,CARRIER,12K 3 STAR ESTER Nx SPLIT AC,0,1,3,Ester Nx,No,3550,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,8,28,Digital Display-LED,Yes,Yes,3.62,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",980 W,26990,80.5,28.5,20.5,78,54,25, Low - 32 dB,High - 39 dB
37,CARRIER,12K ESTRA N (3 STAR) WRAC AC R22,1,1,3,Estra N,No,3400,Rotary,Yes,Yes,R22,"Dry Mode, Turbo Mode, Sleep Mode, Auto Fan Speed Mode, Energy Saver Mode",Insta Kool,Copper,42,32.4,7 Segment LED Display,Yes,Yes,3.04,Blue Coating,Bare,No,Yes,2 Way Air Direction,2 Step Fan Speed,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 230, 50 Hz",1120 W,23990,56,37.5,58,750,548,288, Low - 47 dB,High - 49 dB
38,CARRIER,12K ESTRA N (3 STAR) WRAC AC R22,1,1,3,Estra N,No,3400,Rotary,Yes,Yes,R22,"Dry Mode, Turbo Mode, Sleep Mode, Auto Fan Speed Mode, Energy Saver Mode",Insta Kool,Copper,42,32.4,7 Segment LED Display,Yes,Yes,3.04,Blue Coating,Bare,No,Yes,2 Way Air Direction,2 Step Fan Speed,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 230, 50 Hz",1120 W,23990,56,37.5,58,750,548,288, Low - 47 dB,High - 49 dB
39,CARRIER,14K 3 STAR ESTER NXi INVERTER R32 SPLIT AC,0,1.2,3,Ester NXi Inverter,No,3900,DC Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,10.5,25.5,Digital Display-LED,Yes,Yes,3.9,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1235 W,33990,94,27.5,20.5,78,54,25, Low - 37 dB,High - 42 dB
40,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,0,2,3,Ester Nx,No,6200,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,14.2,44,Digital Display-LED,Yes,Yes,3.62,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,41990,104.5,31.5,23.5,84.5,70,32, Low - 40 dB,High - 46 dB
41,CARRIER,18K ESTRA Nx (3 STAR) WRAC AC R32,1,1.5,3,Estra Nx,No,5100,Rotary,Yes,Yes,R32,"Dry Mode, Turbo Mode, Sleep Mode, Auto Fan Speed Mode, Energy Saver Mode",Insta Kool,Copper,54,0,7 Segment LED Display,Yes,Yes,3,Blue Coating,Bare,No,Yes,2 Way Air Direction,3 Step Fan Speed,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 230, 50 Hz",1700 W,27990,66,42.8,66,0,0,0, Low - 50 dB,High - 56 dB
42,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,0,2,3,Ester Nx,No,6200,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,14.2,44,Digital Display-LED,Yes,Yes,3.62,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,41990,104.5,31.5,23.5,84.5,70,32, Low - 40 dB,High - 46 dB
43,CARRIER,18K ESTER INVERTER ( 3 STAR) - H / CAI18ES3C8F0,0,1.5,3,No Series,No,5200,Rotary,Yes,Yes,R32,,"Insta Kool, AI Cool",Copper,13.5,31,,No,No,4,Blue Coating,Bare,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 230 V, 50 Hz",1690 W,35990,1030,315,218,780,540,250,Low - 35 dB,High - 46 dB
44,CARRIER,18K 3 STAR ESTER NEO-i INVERTER R32 SPLIT AC,0,1.5,3,No Series,No,5200,Rotary,Yes,Yes,R32,,"Insta Kool, AI Cool",Copper,10.3,27.7,Yes,No,Yes,3.8,Blue Coating,Bare,No,Yes,,,No,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 230 V, 50 Hz",1750 W,34990,94,27.5,20.5,78,54,25,Low - 37 dB,High - 55 dB
45,CARRIER,24k Estrella Neo 3 Star Window,1,2,3,No Series,No,2500,High EER Rotary,Yes,Yes,R32,,"Insta Kool, AI Cool",Copper,42,28.3,,No,Yes,3.67,Blue Coating,Bare,No,Yes,,,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,AC 230 V,1925 W,36000,61.3,35.5,52.5,80,55.4,33.3,Low - 35 dB,High - 55 dB
46,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,0,2,3,Ester Nx,No,6200,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,14.2,44,Digital Display-LED,Yes,Yes,3.62,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,41990,104.5,31.5,23.5,84.5,70,32, Low - 40 dB,High - 46 dB
47,CARRIER,18K ESTRA Nx (3 STAR) WRAC AC R32,1,1.5,3,Estra Nx,No,5100,Rotary,Yes,Yes,R32,"Dry Mode, Turbo Mode, Sleep Mode, Auto Fan Speed Mode, Energy Saver Mode",Insta Kool,Copper,54,0,7 Segment LED Display,Yes,Yes,3,Blue Coating,Bare,No,Yes,2 Way Air Direction,3 Step Fan Speed,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 230, 50 Hz",1700 W,27990,66,42.8,66,0,0,0, Low - 50 dB,High - 56 dB
48,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,0,2,3,Ester Nx,No,6200,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,14.2,44,Digital Display-LED,Yes,Yes,3.62,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,41990,104.5,31.5,23.5,84.5,70,32, Low - 40 dB,High - 46 dB
49,CARRIER,Durafresh Neo X (NON HYB) CAI12DN3R39F0,0,1,3,No Series,No,3518,Rotary,Yes,Yes,R32,,"Insta Kool, AI Cool",Copper,8.6,24.7,,No,No,0,Blue Coating,Bare,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,,Yes,"AC 230 V, 50 Hz",736.57 W,34990,80,27.5,18.8,78,54,25,Low - 35 dB,High - 55 dB
36,CARRIER,14K 5 STAR ESTER NXi INVERTER R32 SPLIT AC,0,1.2,5,Ester NXi Hybridjet Inverter,No,3900,DC Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Flexicool, Hybridjet, Insta Kool, AI Cool",Copper,10.3,28,Digital Display-LED,Yes,Yes,4.74,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1050 W,35990,94,27.5,20.5,78,54,25, Low - 32 dB,High - 40 dB
50,Croma,CRAC7701,0,1,3,Intelligent WiFi AC,No,3500,Inverter Rotary,Yes,Yes,R32,"Fan Mode, Dry Mode, Cooling Mode, Sleep Mode",360 Degree DC Inverter compressor Technology,Copper,9.3,24.5,Hidden Display,No,Yes,4,Blue Fin,Anti Corrosion Gold Fin,No,Yes,2 Way,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1060 W,28900,80,29.5,23.5,78,55.7,24.1,Low - 35 dB,High - 42 dB
52,Croma,CRAC7701,0,1,3,No Series,No,3500,Inverter Rotary,Yes,Yes,R32,,360 Degree DC Inverter compressor Technology,Copper,9.3,24.5,,No,Yes,4,Blue Fin,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1060 W,28900,80,29.5,23.5,78,55.7,24.1,Low - 35 dB,High - 42 dB
55,Croma,CRAC1156,1,1,3,No Series,No,3250,Rotary,Yes,Yes,R22,"Dry Mode, Auto Mode, Cool Mode",360 Degree DC Inverter compressor Technology,Copper,44,0,LED,No,Yes,2.91,Blue Evaporator Fins,Copper,No,Yes,2 Way Air Direction,2 Way Air Flow,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",864 W,22490,66,43,66,0,0,0,Low - 48 dB,High - 55 dB
56,Croma,CRAC7701,0,1,3,No Series,No,3500,Inverter Rotary,Yes,Yes,R32,,360 Degree DC Inverter compressor Technology,Copper,9.3,24.5,,No,Yes,4,Blue Fin,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1060 W,28900,80,29.5,23.5,78,55.7,24.1,Low - 35 dB,High - 42 dB
57,Croma,CRAC7701,0,1,3,No Series,No,3500,Inverter Rotary,Yes,Yes,R32,,360 Degree DC Inverter compressor Technology,Copper,9.3,24.5,,No,Yes,4,Blue Fin,,No,Yes,,,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1060 W,28900,80,29.5,23.5,78,55.7,24.1,Low - 35 dB,High - 42 dB
60,Croma,CRAC7701,0,1,3,Intelligent WiFi AC,No,3500,Inverter Rotary,Yes,Yes,R32,"Fan Mode, Dry Mode, Cooling Mode, Sleep Mode",360 Degree DC Inverter compressor Technology,Copper,9.3,24.5,Hidden Display,No,Yes,4,Blue Fin,Anti Corrosion Gold Fin,No,Yes,2 Way,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1060 W,28900,80,29.5,23.5,78,55.7,24.1,Low - 35 dB,High - 42 dB
