,Brand,Model Name,Type,Capacity in Tons,Star Rating,Color,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,LED Backlit Buttons,Night Glow Buttons on Remote,Battery Type,Price
652,SAMSUNG,AR12AYMZABENNA/XNA,Split,1 Ton,4 Star BEE Rating,White,,No,3300 W,Inverter Compressor,Yes,Yes,R-32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",Precision Cooling Technology,Copper,82 cm x 29.9 cm x 21.5 cm,9 kg,72 cm x 54.8 cm x 26.5 cm,24.3 kg,"High - 58 dB, Low - 43 dB",Yes,,Yes,3.82 W/W,Anti-corrosive Blue Fins,Anti-corrosive Blue Fins,Yes,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,AC 230 V,634.66 W,No,,2 AAA Batteries,"29,490"
653,Godrej,GSC18ITC3-WTA,Split,1.5 Ton,3 Star BEE Rating,White,,No,5200 W,Rotary,No,Yes,R32,Fan Mode,,Copper,76.1 cm x 33 cm x 24.1 cm,10 kg,75 cm x 55.7 cm x 24.1 cm,40 kg,"High - 35 dB, Low - 52 dB",Yes,Yes,Yes,3.5 W/W,Blue Fin,Blue Fin,No,Yes,2 Way Air Direction,,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,"AC 110 - 200 V, 50/60 Hz",1149 W,Yes,No,2 AAA Batteries,"30,300"
654,Voltas,242 LZH,Window,2 Ton,2 Star BEE Rating,White,,,5800 W,Rotary,Yes,Yes,,,,Copper,66 cm x 43 cm x 80.5 cm,62 kg,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,Yes,,,,AC 220 - 240 V,2000 W,,,,"32,929"
655,Lloyd,LS12I56HAWA,Split,1 Ton,5 Star BEE Rating,Print White,Turbocool,No,3520 W,Inverter Compressor,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,87 cm x 20 cm x 29.8 cm,10 kg,56 cm x 56 cm x 36.5 cm,26.7 kg,"High - 45 dB, Low - 28 dB",LED Digital Display,Yes,Yes,3.4 W/W,Blue Coating,Blue Fin,Yes,No,2 Way Air Direction,4 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",577.43 W,No,Yes,2 AAA Batteries,"35,489"
656,Voltas,155V DZW (R32),Split,1.2 Ton,5 Star BEE Rating,White,,No,4000 W,High EER Rotary - BLDC,Yes,Yes,R32,,Dual Cool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28.5 kg,High - 21 dB,LED,Yes,Yes,5 W/W,,Ocean Black Fin,,Yes,,Air Vent: Cross Flow,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,"AC 230 V, 50 Hz",1010 W,,Yes,2 AAA Batteries,"32,990"
657,Daikin,FTL25TV16X1,Split,0.75 Ton,3 Star BEE Rating,White,,,4500 W,Rotary,,,R-32,,,Copper,800 mm x 283 mm x 198 mm,8 kg,765 mm x 550 mm x 285 mm,29 kg,"High - 39 dB, Low - 29 dB",,,,3 W/W,,,,Yes,,"Vertical Auto-swing (Up and Down), Air Flow Rate: Indoor Unit - 9.7 CMH",,,,Yes,Yes,,,Yes,,Yes,,"AC 230 V, 50 Hz",,,,,"23,900"
658,O General,ASGG24CPTA-B,Split,2 Ton,3 Star BEE Rating,White,,,3500 W,Hyper Tropical Rotary Compressor,Yes,Yes,,,,Copper,98 cm x 28 cm x 24 cm,65 kg,24 cm x 54.1 cm x 28 cm,65 kg,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 230 V,2140 W,,,,"60,990"
659,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
660,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,,No,,Yes,4.1 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
661,Hitachi,RMRG524HEEA/ EMRG524HEEA/ CMRG524HEEA,Split,2 Ton,5 Star BEE Rating,"White, Gold",Kiyora,No,7034 W,DC Inverter Compressor,Yes,Yes,R410A,"Fan Mode, Auto Mode, Cool Mode, Dry Mode",,Copper,99.7 cm x 29.4 cm x 25.3 cm,13 kg,79.2 cm x 60 cm x 29.9 cm,47.6 kg,,No,,,4.7 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 230 V, 50 Hz",1158.94 W,,,2,"57,500"
