,Brand,Model Name,Type,Capacity in Tons,Star Rating,Color,Series,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Operating Modes,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Panel Display,Indoor Temperature Indicator,Turbo Mode,ISEER,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Air Flow Direction,Other Air Flow Features,Anti-bacteria Filter,Dust Filter,Deodorizing Filter,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,LED Backlit Buttons,Night Glow Buttons on Remote,Battery Type,Price
128,Whirlpool,3D Cool Elite Pro,Split,1 Ton,3 Star BEE Rating,White,,No,1360 W,Rotary,Yes,Yes,R32,,,Copper,890 mm x 482 mm x 260 mm,7.5 kg,660 mm x 482 mm x 240 mm,22.5 kg,"High - 42 dB, Low - 37 dB",Hidden Display,No,Yes,4 W/W,Hydrophilic Aluminium Fin,Aluminium Slit Fin,Yes,Yes,,Air Vent: Cross Flow,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz, Single Phase",758.86 W,Yes,Yes,2 AAA Batteries,"28,059"
129,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,Split,2 Ton,3 Star BEE Rating,White,Ester Nx,No,6200 W,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,104.5 cm x 31.5 cm x 23.5 cm,14.2 kg,84.5 cm x 70 cm x 32 cm,44 kg,"High - 46 dB, Low - 40 dB",Digital Display-LED,Yes,Yes,3.62 W/W,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,No,No,2 AAA Batteries,"41,990"
130,Voltas,245V ZZV,Split,2 Ton,5 Star BEE Rating,White,,No,5200 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,99 cm x 31.5 cm x 22.5 cm,11.4 kg,87 cm x 54 cm x 35.5 cm,35 kg,Low - 50 dB,LED Magic Display,Yes,Yes,3.67 W/W,,Ocean Black Fin,No,Yes,2 Way Air Direction,,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,"AC 230 V, 50 Hz",2000 W,,,AAA Batteries,"50,990"
131,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
132,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,,No,,Yes,4.1 W/W,,,,Yes,2 Way,,Yes,Yes,,Yes,,No,,Yes,,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
133,Voltas,183VH SZS,Split,1.5 Ton,3 Star BEE Rating,White,,Yes,5400 W,Rotary,Yes,Yes,R32,,,Copper,99 cm x 31.5 cm x 24.2 cm,13 kg,83.5 cm x 55.5 cm x 29.5 cm,28.7 kg,,Room Temperature Display,,Yes,,,,,Yes,,,Yes,Yes,,Yes,Yes,,No,Yes,,,,"AC 230 V, 50 Hz",1712 W,,,,"41,990"
134,LG,LS-Q24HNXA1,Split,2 Ton,3 Star BEE Rating,White,,No,6300 W,Dual Rotary,Yes,Yes,R32,,,Copper,99.8 cm x 33 cm x 21 cm,11.5 kg,87 cm x 65 cm x 33 cm,40 kg,,,,,,,Ocean Black Fin,Yes,Yes,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,AC 230 V,1232.78 W,No,,2 AAA Batteries,"49,490"
135,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
136,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",,No,4982 W,Rotary,Yes,Yes,R32,,,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,,LED,,Yes,3.67 W/W,,,No,Yes,,Air Vent: Cross Flow,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,No,,"AC 220 - 240 V, 50 Hz",1748 W,,Yes,,"31,990"
137,Godrej,GIC 18YTC3-WTA,Split,1.5 Ton,3 Star BEE Rating,White,Intelligent WiFi AC,No,5150 W,Rotary Compressor,Yes,Yes,R32,"Cool, Auto, Dry, Fan, Sleep, ECO",360 Degree DC Inverter compressor Technology,Copper,91 cm x 29.4 cm x 20.6 cm,9 kg,76 cm x 55.2 cm x 25.6 cm,28 kg,"High - 45 dB, Low - 32 dB",Hidden Display,Yes,Yes,3.53 W/W,HYDROPHILIC BLUE FINS,COPPER CONDENSER WITH ANTI CORROSIVE BLUE FINS,,Yes,2 Way,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1128.49 W,Yes,Yes,2,"31,990"
138,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,Split,2 Ton,3 Star BEE Rating,White,Ester Nx,No,6200 W,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,104.5 cm x 31.5 cm x 23.5 cm,14.2 kg,84.5 cm x 70 cm x 32 cm,44 kg,"High - 46 dB, Low - 40 dB",Digital Display-LED,Yes,Yes,3.62 W/W,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,No,No,2 AAA Batteries,"41,990"
139,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
140,SAMSUNG,AR18AY4ZAPG,Split,1.5 Ton,4 Star BEE Rating,White,,,5000 W,Digital Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,88.9 cm x 29.9 cm x 21.5 cm,10.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,,,Yes,Yes,,,,AC 230 V,940.09 W,,,2 AAA Batteries,"33,750"
141,O General,ASGG24CGTA,Split,2 Ton,5 Star BEE Rating,White,,,7000 W,Rotary,Yes,Yes,R32,"Cooling Mode, Heating Mode, Dehumidification Mode, Fan Mode, Auto Operation Mode",,Copper,83 cm x 27 cm x 23 cm,11 kg,79 cm x 54 cm x 29 cm,35 kg,Low - 31 dB,Magic Display,Yes,,4.73 W/W,,Ocean Black Fin,Yes,Yes,,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,AC 155 - 265 V,2140 W,,,2 AAA Batteries,"69,490"
142,Lloyd,GLW12B32WSEW,Window,1 Ton,3 Star BEE Rating,White,,,3400 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",,Copper,57 cm x 38.5 cm x 60 cm,38 kg,,,,LED,,,2.91 W/W,,,Yes,Yes,2 Way Air Direction,,No,No,,Yes,Yes,,,Yes,,Yes,Yes,"AC 230 V, 50 Hz",905.7 kWh,Yes,,,"22,500"
143,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",Kaze Plus,No,4982 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry",Inverter,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,Low - 48 dB,No,No,Yes,3.67 W/W,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,No,No,AAA Batteries,"31,990"
144,O General,ASGG24LFCD-B,Split,2 Ton,4 Star BEE Rating,White,,No,7100 W,Rotary,Yes,Yes,,,,Copper,99 cm x 32 cm x 23 cm,14 kg,79 cm x 62 cm x 29 cm,41 kg,,,,Yes,4.7 W/W,,,No,,,,No,Yes,,Yes,Yes,No,No,Yes,,No,,AC 230 V,2280 W,,,,"84,999"
145,SAMSUNG,AR12TY3QBBUNNA/AR12TY3QBBUXNA,Split,1 Ton,3 Star BEE Rating,"White, Blue1",Floral,No,3517 W,Rotary,Yes,Yes,R32,"Auto, Cool, Dry, Fan",,Copper,80.5 cm x 28.5 cm x 19.4 cm,11 kg,72 cm x 49.5 cm x 27 cm,21 kg,Low - 35 dB,Yes,Yes,Yes,3.8 W/W,HYDROPHILIC BLUE FINS,Gold,No,Yes,2 Way Air Direction,4 Way Air Swing,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,,"AC 220 - 240 V, 50 Hz",1150 W,No,Yes,2 AAA Batteries,"28,990"
146,CARRIER,24K 3 STAR ESTER Nx SPLIT AC,Split,2 Ton,3 Star BEE Rating,White,Ester Nx,No,6200 W,Rotary,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode, Turbo Mode, My Mode","Insta Kool, AI Cool",Copper,104.5 cm x 31.5 cm x 23.5 cm,14.2 kg,84.5 cm x 70 cm x 32 cm,44 kg,"High - 46 dB, Low - 40 dB",Digital Display-LED,Yes,Yes,3.62 W/W,Blue Coating,Bare,Yes,No,2 Way Air Direction,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",1712 W,No,No,2 AAA Batteries,"41,990"
147,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
148,SAMSUNG,AR12AYMZABENNA/XNA,Split,1 Ton,4 Star BEE Rating,White,,,3300 W,Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,82 cm x 29.9 cm x 21.5 cm,9 kg,72 cm x 54.8 cm x 26.5 cm,24.3 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,634.66 W,,,2 AAA Batteries,"29,490"
149,SAMSUNG,AR24AY4YATZ,Split,2 Ton,4 Star BEE Rating,White,,No,6000 W,Digital Inverter Compressor,Yes,Yes,R32,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,105.5 cm x 29.9 cm x 21.5 cm,11.6 kg,88 cm x 63.8 cm x 31 cm,38.5 kg,,Yes,,Yes,4 W/W,,,,Yes,,Air Vent: Cross Flow,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,AC 230 V,1158.53 W,,Yes,2 AAA Batteries,"60,490"
150,Panasonic,CS/CU-ZU18WKYF,Split,1.5 Ton,5 Star BEE Rating,White,,No,5200 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,100 cm x 29.5 cm x 23 cm,11 kg,78 cm x 55.7 cm x 24.1 cm,27 kg,,Hidden Display,,,5 W/W,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,,,,,No,Yes,,Yes,,,,Yes,,No,,AC 100 - 240 V,1122.45 W,,,,"40,999"
151,Lloyd,LS12I56HAWA,Split,1 Ton,5 Star BEE Rating,Print White,Turbocool,No,3520 W,Inverter Compressor,Yes,Yes,R32,"Cool Mode, Dry Mode, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,87 cm x 20 cm x 29.8 cm,10 kg,56 cm x 56 cm x 36.5 cm,26.7 kg,"High - 45 dB, Low - 28 dB",LED Digital Display,Yes,Yes,3.4 W/W,Blue Coating,Blue Fin,Yes,No,2 Way Air Direction,4 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,"AC 230 V, 50 Hz",577.43 W,No,Yes,2 AAA Batteries,"35,489"
152,IFFALCON by TCL,FAC-12CSD/V3,Split,1 Ton,3 Star BEE Rating,White,E3,No,3550 W,Eco-Tropical Inverter,Yes,Yes,R32,"Cool Mode, Dry Mode, Fan Mode, Auto Mode�",Eco Tropical Inverter Technology,Copper,77.7 cm x 25 cm x 20.5 cm,8.5 kg,75.4 cm x 55.2 cm x 30 cm,25 kg,"High - 40 dB, Low - 32 dB",LED Digital,Yes,Yes,3.65 W/W,Titan Gold,Titan Gold,Yes,Yes,4 Way,4 Step Fan Speed,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 165 - 245 V, 50 Hz",1210 W,Yes,Yes,2 AAA Batteries,"25,490"
153,LG,MS-Q12SWZD,Split,1 Ton,5 Star BEE Rating,White,,No,3850 W,Dual Rotary,Yes,Yes,R-32,,,Copper,837 mm x 308 mm x 189 mm,8.4 kg,717 mm x 495 mm x 230 mm,24.5 kg,"High - 31 dB, Low - 26 dB",,Yes,No,4.7 W/W,Gold Fin,Gold Fin,Yes,Yes,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240, 50 Hz",1050.84 W,,Yes,2 AAA Batteries,"37,690"
154,Blue Star,IC326YATU,Split,2 Ton,3 Star BEE Rating,White,,No,6950 W,Rotary,Yes,Yes,R32,"Comfort Sleep, Modes - (Auto/Cool/ Fan / Dry), Precision Cooling-Decimal Setting, Turbo Cooling",,Copper,1110 mm x 335 mm x 215 mm,15 kg,968 mm x 652 mm x 367 mm,38 kg,,,Yes,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,No,Yes,No,No,No,AC 230 V,2620 W,No,No,2,"54,990"
155,Hitachi,RAW318HDEA,Window,1.5 Ton,3 Star BEE Rating,White,Shizuka,No,5100 W,DC Inverter Compressor,Yes,Yes,R410A,Auto Power Save Mode,Inverter,Copper,66 cm x 43 cm x 75.5 cm,50.5 kg,900 mm x 650 mm x 365 mm,44 kg,Low - 40 dB,No,Yes,Yes,3.09 W/W,Blue,Anti-corrosive Blue Fins,,Yes,2 Way Air Direction,4 Way Air Swing,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"AC 230 V, 50 Hz",1279.02 W,No,No,2,"33,490"
156,Voltas,155V DZW (R32),Split,1.2 Ton,5 Star BEE Rating,White,,No,4000 W,High EER Rotary - BLDC,Yes,Yes,R32,"Cool, Dry, Fan",,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28.5 kg,,LED,,Yes,5 W/W,,,,Yes,2 Way,Air Vent: Cross Flow,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,"AC 230 V, 50 Hz",1010 W,Yes,Yes,AAA Batteries,"32,990"
157,Daikin,FTKP35TV16W/RKP35TV16W,Split,1 Ton,4 Star BEE Rating,White,,,3500 W,Neo Swing Compressor,No,Yes,R32,,Inverter,Copper,80 cm x 29.8 cm x 22.9 cm,14 kg,76.5 cm x 55 cm x 28.5 cm,33 kg,High - 26 dB,,No,Yes,4.17 W/W,,,,Yes,,,Yes,Yes,,Yes,Yes,,,Yes,,Yes,,"AC 230 V, 50 Hz",1110 W,,,,"38,000"
158,IFB,IACI24GB3G3C,Split,2 Ton,3 Star BEE Rating,White,,,6500 W,Twin Rotary,Yes,Yes,R32,,,Copper,220 mm x 1010 mm x 315 mm,13 kg,605 mm x 780 mm x 290 mm,30 kg,,,,,3.88 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 230 V,1296.25 kWh,,,,"46,990"
159,TOSHIBA,RAS-18QKCV3G-INZ / RAS-18QACV3G-INZ,Split,1.5 Ton,3 Star BEE Rating,White,Magicool Pro,No,5000 W,Rotary,Yes,Yes,R32,Powerful Mode,Coanda Airflow Technology,Copper,79.8 cm x 29.3 cm x 23 cm,9 kg,78 cm x 55 cm x 29 cm,33 kg,"High - 48 dB, Low - 25 dB",No,No,Yes,4 W/W,Hydrophilic aluminum,Blue Fin Condenser,Yes,Yes,Up/Down Swing Flaps,Air Flow High: 985 CMH/580 CFM,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 - 240 V, 50 Hz",1660 W,Yes,Yes,2 AAA Batteries,"39,990"
160,LumX,LX184INHDM,Split,1.5 Ton,4 Star BEE Rating,White,,No,5000 W,Inverter Compressor,No,Yes,R32,"Cool, Dry, Fan",Inverter,Copper,30 cm x 22.5 cm x 30 cm,13.3 kg,83.5 cm x 55.5 cm x 29.5 cm,29.5 kg,High - 35 dB,No,No,Yes,4.1 W/W,,Ocean Black Fin,No,Yes,2 Way,4 Way Air Swing,Yes,Yes,,Yes,Yes,No,No,Yes,Yes,Yes,,"AC 230 V, 50 Hz",1470 W,Yes,Yes,AAA Batteries,"29,990"
161,Blue Star,IC512QBTU,Split,1 Ton,5 Star BEE Rating,White + Champagne Gold,,,5000 W,Rotary,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Dehumidification, Fan Mode",,Copper,105.5 cm x 29.9 cm x 21.5 cm,11.4 kg,88 cm x 63.8 cm x 31 cm,37 kg,,,,,4.65 W/W,,,,Yes,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,AC 230 V,1380 W,,,AAA Batteries,"36,999"
162,SAMSUNG,AR18NV3XEWKNNA/AR18NV3XEWKXNA,Split,1.5 Ton,3 Star BEE Rating,White,,No,5350 W,BLDC,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",Rotary Compressor,Alloy,1065 mm x 301 mm x 311 mm,13.4 kg,790 mm x 548 mm x 285 mm,29.7 kg,"High - 45 dB, Low - 26 dB",Yes,Yes,Yes,3 W/W,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,Yes,Yes,4 Way,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"AC 220 - 240 V, 50 Hz",1860 W,Yes,Yes,2 AAA Batteries,"56,500"
163,Voltas,125V DZX,Split,1 Ton,5 Star BEE Rating,White,Shizuka,No,3600 W,Rotary,Yes,Yes,R-32,"Fan Mode, Cool Mode, Turbo Mode",Insta Kool,Copper,80 cm x 29.2 cm x 22.2 cm,9.3 kg,83.5 cm x 55.5 cm x 29.5 cm,28 kg,"High - 31 dB, Low - 26 dB",LED,Yes,No,2.91 W/W,Gold Fin,Gold Fin,Yes,Yes,2 Way Air Direction,3 Step Fan Speed,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",925 W,Yes,Yes,2,"35,590"
164,SAMSUNG,AR18AY4ZAPG,Split,1.5 Ton,4 Star BEE Rating,White,,,5000 W,Digital Inverter Compressor,Yes,Yes,,"Auto Mode, Fast Cool, Good Sleep, Fan Mode",,Copper,88.9 cm x 29.9 cm x 21.5 cm,10.1 kg,72 cm x 54.8 cm x 26.5 cm,27.8 kg,,Yes,,,,,,,Yes,,,No,Yes,Yes,Yes,,,Yes,Yes,,,,AC 230 V,940.09 W,,,2 AAA Batteries,"33,750"
165,Hitachi,RSOG518HCEA,Split,1.5 Ton,5 Star BEE Rating,"White, Gold",,,5275 W,Rotary,Yes,Yes,,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,99.7 cm x 29.4 cm x 25.3 cm,13 kg,75 cm x 54.8 cm x 28.8 cm,32 kg,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 230 V, 50 Hz",1449 W,,,AAA Batteries,"41,999"
166,IFB,IACI18SA5G3C,Split,1.5 Ton,5 Star BEE Rating,White,,,5075 W,Twin Rotary,Yes,Yes,R32,,,Copper,1010 mm x 220 mm x 315 mm,12 kg,780 mm x 605 mm x 290 mm,30 kg,,,,,4.7 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,AC 230 V,1330 W,,,,"41,990"
167,SAMSUNG,AR18TY3QBPUNNA/AR18TY3QBPUXNA,Split,1.5 Ton,3 Star BEE Rating,"White, Pastel Blue",Kaze Plus,No,4982 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry",Inverter,Copper,95.7 cm x 55.4 cm x 21.3 cm,14.9 kg,80 cm x 55.4 cm x 33.3 cm,28.3 Kg,Low - 48 dB,No,No,Yes,3.67 W/W,Golden,Golden,No,Yes,Horizontal,"Air Circulation (Maximum): 17 Metre Square / Minute, Wind Free, Air Direction Control (Up / Down): Auto, Air Direction Control (Left / Right): Manual, Air Flow Control Step (Cool / Fan): 5 / 4, Auto Fan Speed",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,"AC 220 - 240 V, 50 Hz",1748 W,No,No,AAA Batteries,"31,990"
168,O General,ASGG24CPTA-B,Split,2 Ton,3 Star BEE Rating,White,,No,3500 W,Hyper Tropical Rotary Compressor,Yes,Yes,R410A,"2 Step Cooling, Fast Cool, Comfort Cool, Good Sleep, Auto Mode, Fan Mode",Dual Rotary Compressor,Copper,98 cm x 28 cm x 24 cm,65 kg,24 cm x 54.1 cm x 28 cm,65 kg,"High - 37 dB, Low - 21 dB",Yes,Yes,Yes,3 W/W,Hydrophilic Aluminum,Hydrophobic Aluminium,No,Yes,,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,,AC 230 V,2140 W,,Yes,2 AAA Batteries,"60,990"
169,Blue Star,IC318EBTU,Split,1.5 Ton,3 Star BEE Rating,White,,No,4850 W,Inverter Compressor,Yes,Yes,R32,"Auto, Cool, Fan, Dry",,Copper,840 mm x 270 mm x 210 mm,9 kg,84 cm x 54 cm x 30 cm,26.8 kg,Low - 43 dB,,,Yes,3.85 W/W,,Anti-corrosive Blue Fins,No,Yes,,4 Way Air Swing,No,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"AC 230 V, 50 Hz",975.37 W,No,,2 AAA Batteries,"37,999"
170,Whirlpool,1.5T FLEXICHILL 5S COPR INV,Split,1.5 Ton,5 Star BEE Rating,White,,No,5080 W,Inverter Compressor,Yes,Yes,R-32,"6th Sense, Cool, Dry, Fan",,Copper,93.5 cm x 31.5 cm x 23.5 cm,11.5 kg,84 cm x 54 cm x 30 cm,33 kg,,,,Yes,5.1 W/W,,,,,2 Way Air Direction,,No,Yes,,Yes,Yes,,,Yes,,Yes,,"AC 230 V, 50 Hz",770.5 W,Yes,,AA Batteries,"36,990"
171,LG,LS-Q12JNXA,Split,1 Ton,3 Star BEE Rating,White,Estra N,No,3283 W,Dual Rotary,Yes,Yes,R32,NA,Dual Cool,Copper,83.7 cm x 30.8 cm x 18.9 cm,9 kg,71.7 cm x 49.5 cm x 23 cm,23.3 kg,High - 21 dB,Yes,Yes,Yes,3.73 W/W,Hydrophilic Aluminium Fin,Ocean Black Fin,Yes,Yes,2 Way Air Direction,"Air Direction Control (Left/Right): Manual, Air Direction Control (Up/Down): Auto",No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",680.58 W,Yes,Yes,2 AAA Batteries,"31,990"
172,Hitachi,RSN/ESN/CSN-317HCEA,Split,1.5 Ton,3 Star BEE Rating,White,ACE,,5100 W,Rotary Compressor,Yes,Yes,R410A,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,968 mm x 294 mm x 240 mm,13.8 Kg,750 mm x 548 mm x 288 mm,33.4 Kg,,Yes,,,4 W/W,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,"AC 230 V, 50 Hz",1730 W,,,2 AAA Batteries,"37,279"
173,LG,MS-Q12KNZA,Split,1 Ton,5 Star BEE Rating,White,,,3850 W,Dual Rotary,Yes,Yes,R-32,"Auto, Cool, Dry, Fan",,Copper,837 mm x 308 mm x 189 mm,8.4 kg,717 mm x 495 mm x 230 mm,24.5 kg,,,,,4.7 W/W,,,,,,,Yes,Yes,,Yes,,,,,,,,"AC 220 - 240, 50 Hz",1050.84 W,,,,"37,990"
174,Panasonic,CS/CU-ZU18WKYF,Split,1.5 Ton,5 Star BEE Rating,White,,No,5200 W,Rotary,Yes,Yes,R-32,"Auto, Cool, Fan, Dry, Powerful, Sleep",,Copper,100 cm x 29.5 cm x 23 cm,11 kg,78 cm x 55.7 cm x 24.1 cm,27 kg,,Hidden Display,,,5 W/W,Hydrophilic Blue Fins,Anti-Corrosive Blue Fins,,,,,No,Yes,,Yes,,,,Yes,,No,,AC 100 - 240 V,1122.45 W,,,,"40,999"
